sample,suction_amp_kpa,cyclic_amp,final_plastic_strain_index,stiffness_loss_pct,final_hydraulic_damage,final_seismic_damage,parameter_set,pc0_kpa
1217,102.83292611583352,0.18065737748928096,0.0032857307919901624,18.02191081395822,0.2,0.004551774169492425,baseline_params_with_input_perturbation,120.0
1218,102.21535052450903,0.21766808665968576,0.006328541535226576,18.92331116952134,0.2,0.015497349915616044,baseline_params_with_input_perturbation,120.0
1219,90.15485259815836,0.21477924098521287,0.005504235885562606,18.69619969776504,0.2,0.012739567758575385,baseline_params_with_input_perturbation,120.0
1220,99.48248894411063,0.18728305535808634,0.003603680726136308,18.119652799488463,0.2,0.005738641136645411,baseline_params_with_input_perturbation,120.0
1221,100.09158434110914,0.21926476403839198,0.006442817279728211,18.95746465320559,0.2,0.01591207078892469,baseline_params_with_input_perturbation,120.0
1222,98.9023640924506,0.19235157330971311,0.003918268580590956,18.215082035254003,0.2,0.006897424713798449,baseline_params_with_input_perturbation,120.0
1223,94.07218240431258,0.1829034792915796,0.0032475028783116497,18.0112072300587,0.2,0.004421802079284018,baseline_params_with_input_perturbation,120.0
1224,90.9926423085433,0.2001051877681849,0.004239042334766475,18.315262767770314,0.2,0.00811390503721083,baseline_params_with_input_perturbation,120.0
1225,96.0792890370679,0.21698067566837348,0.006013103888968937,18.840414418205874,0.2,0.014490746506785364,baseline_params_with_input_perturbation,120.0
1226,101.19485242762885,0.1947438233158274,0.00414357400549196,18.281172270130842,0.2,0.007699948994445345,baseline_params_with_input_perturbation,120.0
1227,105.24044638378514,0.20898593428313125,0.005464786181556528,18.67420630894696,0.2,0.012472505180070027,baseline_params_with_input_perturbation,120.0
1228,102.9670565880857,0.20219148300163484,0.004778935330355384,18.47056774172062,0.2,0.009999751149464747,baseline_params_with_input_perturbation,120.0
1229,104.40427523760407,0.21245006310274916,0.005805580534150358,18.773088758287347,0.2,0.013673220636345945,baseline_params_with_input_perturbation,120.0
1230,92.90158561817678,0.20017638765265372,0.00431268589273624,18.336968407419196,0.2,0.008377473518661395,baseline_params_with_input_perturbation,120.0
1231,99.10668815948617,0.20010162930640105,0.004503859610785301,18.38988167023341,0.2,0.009019991709976896,baseline_params_with_input_perturbation,120.0
1232,91.80347104083643,0.21140047109680352,0.005248498894641134,18.618120378114334,0.2,0.011791461734245395,baseline_params_with_input_perturbation,120.0
1233,91.20561818826843,0.2078336455607866,0.004884431511796709,18.510467711069488,0.2,0.010484250777272386,baseline_params_with_input_perturbation,120.0
1234,97.48992865078725,0.1913235674248666,0.0038139610325375745,18.184911728604703,0.2,0.006531070990199673,baseline_params_with_input_perturbation,120.0
1235,91.79489323966364,0.18755284982811052,0.0034409046219273966,18.071330761117256,0.2,0.005151873527852304,baseline_params_with_input_perturbation,120.0
1236,108.99949591457722,0.18175077187609487,0.0034216678305639342,18.06580936441152,0.2,0.005084827996425256,baseline_params_with_input_perturbation,120.0
1237,98.13770816684496,0.18126760575835066,0.0032431058405635402,18.009112689976693,0.2,0.004396368378288253,baseline_params_with_input_perturbation,120.0
1238,109.08974692787869,0.20193354461771046,0.004888200601236406,18.503483596200056,0.2,0.010399443668143264,baseline_params_with_input_perturbation,120.0
1239,106.98976654991534,0.19021487421342234,0.003921703942449173,18.21829035417596,0.2,0.006936382872136452,baseline_params_with_input_perturbation,120.0
1240,90.69620490072906,0.2023392144432733,0.004399121830701576,18.36421590944719,0.2,0.00870833604328752,baseline_params_with_input_perturbation,120.0
1241,97.20373104429993,0.19438588578962995,0.0040158255993380295,18.24607001307421,0.2,0.0072737073016152795,baseline_params_with_input_perturbation,120.0
1242,104.7283724803577,0.18565617970885084,0.0035932952804964054,18.118030790335958,0.2,0.005718945311222185,baseline_params_with_input_perturbation,120.0
1243,94.24768322097667,0.19167317445487794,0.003754211537821239,18.167563305361444,0.2,0.006320411565103001,baseline_params_with_input_perturbation,120.0
1244,102.89060077213024,0.18106479793947583,0.003308248868583011,18.028882006259316,0.2,0.004636424361720235,baseline_params_with_input_perturbation,120.0
1245,94.28005997671902,0.21347194101292766,0.005562895275659164,18.709748155535166,0.2,0.012904084745784146,baseline_params_with_input_perturbation,120.0
1246,103.96393707789294,0.20156357476864473,0.004745978104012419,18.461660712377302,0.2,0.009891594364581126,baseline_params_with_input_perturbation,120.0
1247,107.80015680325982,0.18651054702306907,0.0036901732020104844,18.14825301225518,0.2,0.006085929434526568,baseline_params_with_input_perturbation,120.0
1248,90.92288096217058,0.2035443186752798,0.004505125954030113,18.396149766750913,0.2,0.009096104310546567,baseline_params_with_input_perturbation,120.0
1249,93.80114617431676,0.2017946371456823,0.004470596879186928,18.384535768258516,0.2,0.008955077185995971,baseline_params_with_input_perturbation,120.0
1250,104.74797922692609,0.19175449148047027,0.0039930643410668425,18.238669027826514,0.2,0.007183838195036008,baseline_params_with_input_perturbation,120.0
1251,96.0093861004268,0.19749248944572173,0.004208115022918075,18.30469560564163,0.2,0.00798558949707681,baseline_params_with_input_perturbation,120.0
1252,100.26040319474066,0.21817242527934108,0.006321513132002104,18.92213849090929,0.2,0.015483110246755258,baseline_params_with_input_perturbation,120.0
1253,90.5779541094336,0.20179631461126554,0.004351575406791633,18.34989819946141,0.2,0.008534478136316826,baseline_params_with_input_perturbation,120.0
1254,100.13708554077165,0.20576275743517836,0.005023948418499023,18.543035816772356,0.2,0.010879720632235482,baseline_params_with_input_perturbation,120.0
1255,98.7331390810154,0.21256486559316642,0.005645053120126349,18.727947927952503,0.2,0.013125081982280238,baseline_params_with_input_perturbation,120.0
